pattern,unique_membership_queries,membership_queries,equivalence_queries
(b|ε),87,87,2
(a|ε),76,76,2
(a*),35,35,1
b,87,87,2
(((b*)|(b*))|ε),35,35,1
((a|b)*),33,33,1
((bb)|ε),33,33,1
(b*),35,35,1
((b(b|ε))|ε),33,33,1
((b|ε)(b*)),73,73,2
(b(ba)),33,33,1
(((b*)a)|ε),76,76,2
((a|a)*),35,35,1
(b(b|ε)),33,33,1
(b(b(a*))),33,33,1
((b|ε)(a*)),80,80,2
(((b|(b|(b|b)))(b|ε))|ε),33,33,1
((ba)|ε),33,33,1
((((a|(b*))|ε)b)|ε),173,173,3
(b(bb)),33,33,1
(((b*)(a*))|ε),76,76,2
((b|ε)(b|ε)),33,33,1
((b|ε)a),33,33,1
(b(aa)),33,33,1
((b(a|ε))|ε),33,33,1
((((b*)|(b*))b)|ε),73,73,2
(((b|a)(a*))|ε),76,76,2
((((a|(a*))|ε)(b|ε))|ε),87,87,2
((((a|(a*))|ε)b)|ε),87,87,2
(((ba)|(a*))|ε),107,107,2
(b(a(a|a))),33,33,1
((((a|(b*))|ε)a)|ε),169,169,3
(((b*)|(b*)|(a*))|ε),163,163,3
((b|(a|(a|a)))|ε),77,77,2
((b|(a*))|ε),76,76,2
(((b*)|(a*))|ε),163,163,3
((b|b)*),35,35,1
(((b|a)(b*))|ε),77,77,2
((((b*)|((b|b)*))b)|ε),73,73,2
(((b|a)(a|ε))|ε),33,33,1
((a|ε)((b*)(a*))),95,95,2
((((b|a)|ε)b)|ε),33,33,1
(((ba)|(b*))|ε),35,35,1
((a|ε)(b(a*))),33,33,1
((b|a)*),33,33,1
(ba),33,33,1
(((ba)|((a|b)*))|ε),33,33,1
(((a|ε)b)|ε),33,33,1
((b|ε)((a|ε)b)),33,33,1
(((b|a)(b|ε))|ε),33,33,1
((b|ε)b),33,33,1
((b|ε)(aa)),33,33,1
((a|b)|ε),77,77,2
(((b|b)(a*))|ε),80,80,2
(b|(b*)),35,35,1
(((b*)|((a|(a|a))*))|ε),163,163,3
(((((b*)|((aa)*))|ε)(bb))*),35,35,1
(b(b(b|a))),33,33,1
(((b*)(b(ab)))*),35,35,1
((b|ε)(ab)),33,33,1
((b|ε)(b(a|ε))),33,33,1
((b(b|a))|ε),33,33,1
(b(b((b|b)*))),33,33,1
(((b*)|((a|(a|b))*))|ε),33,33,1
(((ba)|((a|a)*))|ε),107,107,2
(b(((b|ε)a)*)),87,87,2
(((b*)b)|ε),73,73,2
((a|ε)((b*)(b*))),76,76,2
((b|(b|a))|ε),77,77,2
(((b|b)(b*))|ε),73,73,2
((b|(b|b))|ε),87,87,2
(((a|ε)a)|ε),33,33,1
(((a(b|ε))|(b*))|ε),102,102,2
((((b*)|((b|b)*))a)|ε),76,76,2
(((b*)|(b*)|(b*))|ε),35,35,1
((a|a)|ε),76,76,2
(b((b|a)*)),80,80,2
(((a*)|(b*))*),33,33,1
((a|ε)(b(a|ε))),33,33,1
((a|ε)(bb)),33,33,1
(((b*)|((b|(b*))*))|ε),35,35,1
(((b*)b)*),35,35,1
(bb),33,33,1
((a|ε)((b*)b)),33,33,1
((((b|a)|ε)a)|ε),33,33,1
(((b*)((b|a)(bb)))*),201,201,3
(((b|(b|(b|a)))(b*))|ε),77,77,2
(((b*)(b(aa)))*),114,114,2
(b((b|(b|b))a)),33,33,1
((((a|a)|ε)(a|ε))|ε),33,33,1
(((b*)|((a|b)*))|ε),33,33,1
((((b|b)|ε)(a|ε))|ε),33,33,1
(((a|ε)((a*)(b|ε)))*),83,83,2
((((b*)|(b*))(b|ε))|ε),73,73,2
((((b*)|((b|a)*))(b|ε))|ε),35,35,1
((a|ε)(ba)),33,33,1
(((b*)(aa))*),163,163,3
(b((b|(b|a))a)),33,33,1
((b(a|b))|ε),33,33,1
((((b*)|(b*))a)|ε),76,76,2
((b|ε)(((a*)a)*)),80,80,2
(((ba)|((b|a)*))|ε),33,33,1
((b|ε)(a|ε)),33,33,1
